Property	Expected Type	Description	Type	Type URL	BSC Description	Marginality	Cardinality	Controlled Vocabulary	Example
alternateName	Text	An alias for the item.				Recommended	MANY		
annotations	Text	This OPTIONAL property contains arbitrary metadata for the image manifest. This OPTIONAL property MUST use the annotation rules.			This OPTIONAL property contains arbitrary metadata for the image manifest. This OPTIONAL property MUST use the annotation rules.	Optional	MANY	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
applicationCategory	Text	Type of software application, e.g. 'Game, Multimedia'.			Type of software e.g. database, tool, service. **Note:** Bioschemas have removed [URL](http://schema.org/URL) from the Expected Types.	Optional	MANY	Please indicate the container technology in all lowercase	{   "@type": ["SoftwareApplication", "Container"],   "applicationCategory": "singularity" }
citation	CreativeWork or  Text	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.			Publication about this software.	Recommended	MANY		{ "@type": ["SoftwareApplication", "Tool"], "citation": "https://dx.doi.org/10.1016/S0022-2836(05)80360-2" }
config	Text or URL	This REQUIRED property references a configuration object for a container, by digest.				Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
configMediaType	Text or URL	This descriptor property has additional restrictions for config.				Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
dateCreated	Date or  DateTime	The date on which the CreativeWork was created or the item was added to a DataFeed.				Optional	ONE		{ "@type": ["SoftwareApplication", "Tool"], "dateCreated": "2108-06-13" }
dateModified	Date or  DateTime	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.				Optional	ONE		{ "@type": ["SoftwareApplication", "Tool"], "dateModified": "2108-08-07" }
description	Text	A description of the item.			a linux container	Minimum	ONE		
downloadUrl	URL	If the file can be downloaded, URL to download the binary. For containers without an exposed wget url or similar, this can be the pull command.				Optional	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "downloadURL": "https://github.com/sacdallago/cellmap" }
featureList	Text or  URL	Features or modules provided by this application (and possibly required by other applications).			Please choose values from [EDAM:Operation](http://edamontology.org/operation_0004).	Minimum	MANY	[EDAM:Operation](http://edamontology.org/operation_0004)	{   "@type": ["SoftwareApplication", "Tool"],   "featureList": ["http://edamontology.org/topic_0821", "http://edamontology.org/topic_0128"] }
